BirdID,Sex,Cohort,EggDate,HatchDate,NatalBrood,RearingBrood,Fostered,LastLiveRecord,LastLiveYear,LastStage,DeathStatus,DeadCertain,DeadAssumed,DeathAgeY,DeathAgeM,CaptureDate,CaptureYear,Stage,AgeY,AvAgeY,WiAgeY,AgeM,AvAgeM,WiAgeM,McAgeY,McAgeM,SampleID,CTLowTL,TValue,CTHighGAPDH,SValue,TSRatio,Plate,Row,RelDiff,AnalysisYear,ExtractionYear,BloodAge,DNAAge
114,0,2001,14/05/2001,28/05/2001,172,173,-1,27/06/2005,2005,3,0,FALSE,TRUE,4,49,24/11/2004,2004,3,3,3,0,42,36.5,5.5,1.808219178,27.11760094,BDW0108,20.19300522,35.79952912,20.70880599,45.21770281,0.790112262,MEM_Adults_plate45_290515_data.csvresultstotal.csv,A,0.133481388,2015,2014,10,1
114,0,2001,16/05/2001,30/05/2001,175,176,-1,30/08/2004,2004,3,0,FALSE,TRUE,3,39,26/06/2003,2003,3,2,2,0,25,25,0,0.808219178,10.11760094,BCS0405,18.81045368,34.90587829,20.89321247,33.3467147,1.053766738,MEM_Adults_plate47_030615_data.csvresultstotal.csv,E,0.099353522,2015,2004,1,11
114,1,2001,22/05/2001,05/06/2001,178,178,0,30/08/2004,2004,3,0,FALSE,TRUE,3,38,20/06/2003,2003,3,2,2,0,24,24,0,0.808219178,9.117600941,BCS0353,21.71183518,4.779041916,24.33986707,5.230067865,0.907668825,MEM_Adults_plate40_270515_data.csvresultstotal.csv,B,0.065781772,2015,2004,1,11
114,1,2001,22/06/2001,06/07/2001,179,180,-1,30/01/2005,2005,3,0,FALSE,TRUE,4,42,25/11/2004,2004,3,3,3,0,40,40,0,1.808219178,25.11760094,BDW0156,17.87592436,52.08803062,19.83538374,56.11425145,0.928341234,MEM_Adults_plate35_210515_data.csvresultstotal.csv,G,0.02887824,2015,2014,10,1
115,1,2001,22/06/2001,06/07/2001,180,179,-1,14/08/2006,2006,3,0,FALSE,TRUE,5,61,24/05/2006,2006,3,5,3.5,1.5,58,42.5,15.5,3.808219178,43.11760094,BFS0126,20.63574616,9.508276959,22.65484344,10.24022025,0.923406845,MEM_Adults_plate11_141014_data.csvresultstotal.csv,C,0.122073754,2014,2006,0,8
115,1,2001,22/06/2001,06/07/2001,180,179,-1,14/08/2006,2006,3,0,FALSE,TRUE,5,61,17/11/2005,2005,3,4,3.5,0.5,52,42.5,9.5,2.808219178,37.11760094,BEW0161,17.73760021,50.61786811,20.3088553,56.48315169,0.896211792,MEM_Adults_plate34_210515_data.csvresultstotal.csv,B,0.010096569,2015,2014,9,1
122,1,2001,22/06/2001,06/07/2001,180,179,-1,14/08/2006,2006,3,0,FALSE,TRUE,5,61,17/10/2003,2003,3,2,3.5,-1.5,27,42.5,-15.5,0.808219178,12.11760094,BCA0017,19.77573521,21.3171672,20.77056077,32.84902747,0.646706476,MEM_Adults_plate39_260515_data.csvresultstotal.csv,G,0.136297755,2015,2015,12,0
122,1,2001,22/06/2001,06/07/2001,180,179,-1,14/08/2006,2006,3,0,FALSE,TRUE,5,61,23/11/2004,2004,3,3,3.5,-0.5,40,42.5,-2.5,1.808219178,25.11760094,BDW0064,21.24809493,17.21574986,21.75812038,19.45393257,0.882037745,MEM_Adults_plate42_270515_data.csvresultstotal.csv,D,0.117496878,2015,2014,10,1
122,1,2001,22/06/2001,06/07/2001,180,179,-1,14/08/2006,2006,3,0,FALSE,TRUE,5,61,09/06/2004,2004,3,3,3.5,-0.5,35,42.5,-7.5,1.808219178,20.11760094,BDS0536,20.97449222,10.94830886,22.35495917,12.07196137,0.906460752,MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv,G,0.120857564,2015,2005,1,10
145,1,2001,22/06/2001,06/07/2001,180,179,-1,18/07/2006,2006,3,0,FALSE,TRUE,5,60,06/06/2004,2004,3,3,3,0,35,37.5,-2.5,1.808219178,20.11760094,BDS0505,18.4256435,35.46708264,20.59692703,48.13362053,0.736565043,MEM_Adults_plate40_270515_data.csvresultstotal.csv,G,0.023805094,2015,2015,11,0
145,1,2001,22/06/2001,06/07/2001,180,179,-1,18/07/2006,2006,3,0,FALSE,TRUE,5,60,23/11/2004,2004,3,3,3,0,40,37.5,2.5,1.808219178,25.11760094,BDW0070,19.23713442,29.81755883,20.63439102,41.62030488,0.71046188,MEM_Adults_plate43_270515_data.csvresultstotal.csv,A,0.163122041,2015,2014,10,1
166,0,2001,03/06/2001,17/06/2001,182,182,0,19/11/2005,2005,3,0,FALSE,TRUE,4,53,03/06/2004,2004,3,3,2.625,0.375,36,32.375,3.625,1.808219178,21.11760094,BDS0483,21.73348873,5.064436842,23.86174416,5.349402883,0.946926507,MEM_Adults_plate37_220515_data.csvresultstotal.csv,A,0.042179301,2015,2005,1,10
166,0,2001,03/06/2001,17/06/2001,182,182,0,19/11/2005,2005,3,0,FALSE,TRUE,4,53,24/11/2004,2004,3,3,2.625,0.375,41,32.375,8.625,1.808219178,26.11760094,BDW0092,20.68442971,22.30376628,21.2681424,30.31038941,0.736017573,MEM_Adults_plate46_010615_data.csvresultstotal.csv,H,0.036895937,2015,2014,10,1
166,0,2001,03/06/2001,17/06/2001,182,182,0,19/11/2005,2005,3,0,FALSE,TRUE,4,53,19/11/2005,2005,3,4,2.625,1.375,53,32.375,20.625,2.808219178,38.11760094,BEW0206,17.62290829,42.82471856,19.68122904,56.47072017,0.758434284,MEM_Adults_plate7_091014_data.csvresultstotal.csv,B,0.01579118,2014,2014,9,0
166,0,2001,03/06/2001,17/06/2001,182,182,0,30/08/2004,2004,3,0,FALSE,TRUE,3,38,28/05/2003,2003,3,2,2,0,23,23,0,0.808219178,8.117600941,BCS0117,17.83765592,74.86093775,20.01504121,69.52154447,1.076918494,MEM_Aduts_reruns1_040615_data.csvresultstotal.csv,C,0.063072186,2015,2004,1,11
206,1,2001,11/06/2001,25/06/2001,184,184,0,30/08/2004,2004,3,0,FALSE,TRUE,3,38,05/06/2003,2003,3,2,2,0,24,24,0,0.808219178,9.117600941,BCS0169,18.07358136,56.86118805,20.57564093,39.73122117,1.429688008,MEM_Adults_plate48_030615_data.csvresultstotal.csv,A,0.057193438,2015,2004,1,11
206,1,2001,11/06/2001,25/06/2001,184,184,0,30/01/2005,2005,3,1,FALSE,TRUE,4,43,19/05/2004,2004,3,3,2.5,0.5,35,31,4,1.808219178,20.11760094,BDS0284,19.94489647,10.6462945,22.42085341,18.52195271,0.563798128,MEM_Adults_110914_PLATE5_data.csvresultstotal.csv,F,0.197077904,2014,2005,1,9
206,1,2001,15/06/2001,29/06/2001,187,190,-1,15/11/2005,2005,3,0,FALSE,TRUE,4,53,23/11/2004,2004,3,3,2.8,0.2,41,35.4,5.6,1.808219178,26.11760094,BDW0046,18.08392026,41.38368353,19.15446661,66.27864624,0.622824429,MEM_adults_080914_data.csvresultstotal.csv,H,0.131204224,2014,2014,10,0
206,1,2001,15/06/2001,29/06/2001,187,190,-1,15/11/2005,2005,3,0,FALSE,TRUE,4,53,15/11/2005,2005,3,4,2.8,1.2,53,35.4,17.6,2.808219178,38.11760094,BEW0020,16.98446356,49.18739428,19.36028472,74.41225259,0.662340882,MEM_adults_090914B_data.csvresultstotal.csv,G,0.076612295,2014,2014,9,0
251,1,2001,18/06/2001,02/07/2001,193,192,-1,22/05/2007,2007,3,0,FALSE,TRUE,6,70,20/11/2005,2005,3,4,3.666666667,0.333333333,52,43.5,8.5,2.808219178,37.11760094,BEW0220,16.63581776,106.4592147,18.54921013,151.4637004,0.703005644,MEM_Adults_100914_PLATE4_data.csvresultstotal.csv,H,0.027208669,2014,2014,9,0
251,1,2001,18/06/2001,02/07/2001,193,192,-1,22/05/2007,2007,3,0,FALSE,TRUE,6,70,09/02/2007,2007,3,6,3.666666667,2.333333333,67,43.5,23.5,4.808219178,52.11760094,BFW0042,18.26325153,41.39643189,19.73829824,62.4056499,0.66127823,MEM_Adults_plate11_141014_data.csvresultstotal.csv,D,0.150765982,2014,2014,7,0
251,1,2001,18/06/2001,02/07/2001,193,192,-1,22/05/2007,2007,3,0,FALSE,TRUE,6,70,03/06/2004,2004,3,3,3.666666667,-0.666666667,35,43.5,-8.5,1.808219178,20.11760094,BDS0481,20.05632284,17.84099654,21.15269484,25.83738517,0.687396157,MEM_Adults_plate39_260515_data.csvresultstotal.csv,B,0.137893234,2015,2015,11,0
256,1,2001,18/06/2001,02/07/2001,193,192,-1,22/05/2007,2007,3,0,FALSE,TRUE,6,70,24/11/2004,2004,3,3,3.666666667,-0.666666667,40,43.5,-3.5,1.808219178,25.11760094,BDW0079,18.25081761,49.45429871,19.84104636,61.81410831,0.796501543,MEM_Adults_plate47_030615_data.csvresultstotal.csv,E,0.109692572,2015,2014,10,1
256,0,2001,04/07/2001,18/07/2001,202,202,0,09/02/2007,2007,3,0,FALSE,TRUE,6,67,26/11/2004,2004,3,3,3.4,-0.4,40,40.6,-0.6,1.808219178,25.11760094,BDW0165,17.37242394,64.09351432,19.06361184,107.8875673,0.589283071,MEM_Adults_100914_PLATE4_data.csvresultstotal.csv,A,0.079488146,2014,2014,10,0
