V1,V2,V3
-0.41225764,-0.098815229,-0.383160834
0.325552222,-0.470892208,0.100741073
-0.565174406,-0.091229408,-0.055160913
-0.312019116,-0.390949106,0.022165024
0.498966585,-0.106408644,0.614108498
0.130903821,0.07668131,-0.33141317
-0.019980016,-0.428203348,-0.003263126
-0.333462272,-0.26812069,0.169856342
0.284838026,-0.171888724,-0.236075187
0.565333361,0.089545167,-0.043104165
-0.449052005,-0.080945261,-0.235137545
-0.0576211,0.234635599,-0.144603072
-0.66667293,0.558144478,0.579468684
0.555083702,0.590640584,0.262810444
-0.446485291,-0.647471629,-0.401051718
0.167223075,1.642881562,0.872609126
0.25859176,-0.325080852,-0.393652208
-0.26036971,-0.237695818,0.321554116
-0.422984369,-0.268161921,-0.238923339
-0.013975425,0.634642801,0.186804234
-0.046092974,-0.281787268,-0.144889996
-0.155430356,0.156683359,0.376973672
0.349759743,0.335347296,0.803759995
0.526493577,0.122125513,-0.131547097
-0.135386649,-0.166792264,-0.206888351
0.252998651,-0.33949246,0.539119989
2.537243929,-0.55822965,0.156227257
0.050710667,0.288206697,-0.565067591
0.274714689,0.342382114,0.793414599
-0.301300318,-0.250826642,0.501566675
0.252022677,0.22234279,-0.558854505
0.045197043,0.174352599,0.12949886
-0.46202489,0.550146611,0.339327898
0.099887572,1.339603462,-0.158093024
0.079401217,0.777714671,0.511835825
0.47167802,-0.130715439,0.667563595
-0.377916176,-0.342673032,-0.196071801
0.16570013,-0.045077282,0.449248026
-0.038072052,-1.134434768,0.304214026
-0.338437337,0.278482974,-1.036914867
0.095456023,1.945855941,0.780883783
0.313287025,-0.141240535,0.540487242
0.458232397,-0.326355685,-0.202618168
